marine_site_name,marine_site_code,marine_sort_order,latitude,longitude,survey_rep,year,month,day,section,x_transect,location,point,final_classification,rank_final_classification,species_lump,min_rank_R_graph_classification,pc_point_type,tidal_elevation,y_planar,reference_type
Bodega,BML,5200,38.3181936,-123.07365,1,2001,7,7,1,3,11.6,1,mytilus californianus,1,Mytilus californianus,1,full_points,2.34343,8.905431,GPS
Bodega,BML,5200,38.3181936,-123.07365,1,2001,7,7,1,3,12,1,mytilus californianus,1,Mytilus californianus,1,full_points,2.37667,9.304048,GPS
Bodega,BML,5200,38.3181936,-123.07365,1,2001,7,7,1,3,12.2,1,mytilus californianus,1,Mytilus californianus,1,full_points,2.36674,9.503801,GPS
Bodega,BML,5200,38.3181936,-123.07365,1,2001,7,7,1,3,12.4,1,mytilus californianus,1,Mytilus californianus,1,full_points,2.35667,9.703547,GPS
Bodega,BML,5200,38.3181936,-123.07365,1,2001,7,7,1,3,12.8,2,mytilus californianus,1,Mytilus californianus,1,full_points,2.09667,9.894335,GPS
Bodega,BML,5200,38.3181936,-123.07365,1,2001,7,7,1,3,13,2,mytilus californianus,1,Mytilus californianus,1,full_points,2.03667,10.085123,GPS
Bodega,BML,5200,38.3181936,-123.07365,1,2001,7,7,1,3,13.4,2,mytilus californianus,1,Mytilus californianus,1,full_points,1.8448,10.436102,GPS
Bodega,BML,5200,38.3181936,-123.07365,1,2001,7,7,1,3,13.6,1,mytilus californianus,1,Mytilus californianus,1,full_points,1.74882,10.611566,GPS
Bodega,BML,5200,38.3181936,-123.07365,1,2001,7,7,1,3,14.2,2,mytilus californianus,1,Mytilus californianus,1,full_points,1.23667,10.962391,GPS
Bodega,BML,5200,38.3181936,-123.07365,1,2001,7,7,1,3,14.6,1,postelsia palmaeformis,2,Postelsia palmaeformis,2,full_points,0.55667,10.963391,GPS
Bodega,BML,5200,38.3181936,-123.07365,1,2001,7,7,1,3,15,1,mytilus californianus,1,Mytilus californianus,1,full_points,0.61667,11.289523,GPS
